name	rarity	spawnable	completed	uniqueonly	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	cost	code	alternategfx	OpenBetaGfx	ubercode	spelloffset	component	bodyLoc1	bodyLoc2	invwidth	invheight	hasinv	gemsockets	flippyfile	invfile	uniqueinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam
Cap/hat	1	1	1	0	3	5	0	0	0	0	12	0	1	64	cap	cap	cap	xap	0	0	1	1	2	2	1	2	flpcap	invcap	invcapu							0	0	0	0	0	37	6	0	0	5	0	0	0	0	0	3	0	0	0	0	1	1	1	1	1	5	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Skull Cap	1	1	1	0	8	11	0	0	15	0	18	0	5	441	skp	skp	skp	xkp	0	0	1	1	2	2	1	2	flpskp	invskp								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	1	1	1	1	10	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Helm	1	1	1	0	15	18	0	0	26	0	24	0	11	1558	hlm	hlm	hlm	xlm	0	0	1	1	2	2	1	2	flphlm	invhlm	invhlmu							0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Full Helm	2	1	1	0	23	26	0	0	41	0	30	0	15	3095	fhl	fhl	hlm	xhl	0	0	1	1	2	2	1	2	flpfhl	invfhl	invfhlu							0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Great Helm	2	1	1	0	30	35	0	0	63	0	40	0	23	6177	ghm	ghm	hlm	xhm	0	0	1	1	2	2	1	2	flpghm	invghm								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	2	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1			0	0	0	0	0	2	8	0	0	0	0	0
Crown	2	1	1	0	25	45	0	0	55	0	50	0	29	8345	crn	crn	hlm	xrn	0	0	1	1	2	2	1	2	flpcrn	invcrn								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	1	1			0	0	0	0	0	2	8	0	0	0	0	0
Mask	3	1	1	0	9	27	0	0	23	0	20	0	19	2857	msk	msk	hlm	xsk	0	0	1	1	2	2	1	2	flpmsk	invmsk								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1			0	0	0	0	0	1	2	0	0	0	0	0
Quilted Armor	1	1	1	0	8	11	0	0	12	0	20	0	1	140	qui	qlt	qlt	xui	0	1	3	3	2	3	0	0	flpqlt	invqlt		0	0	0	0	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	1	1	1	1	5	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Leather Armor	1	1	1	0	14	17	0	0	15	0	24	0	3	481	lea	lea	lea	xea	0	1	3	3	2	3	0	0	flplea	invlea		0	0	1	0	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	1	1	1	1	10	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Hard Leather Armor	1	1	1	0	21	24	0	0	20	0	28	0	5	1060	hla	hla	hla	xla	0	1	3	3	2	3	0	0	flphla	invhla		1	1	1	0	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	1	1	1	1	15	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
