name	transform	code	nummods	weaponMod1Code	weaponMod1Offset	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Offset	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Offset	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Offset	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Offset	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Offset	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Offset	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Offset	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Offset	shieldMod3Min	shieldMod3Max
Chipped Amethyst	18	gcv	3	ht00	0	15	19						0	0	0	st00	0	3	3		0	0	0		0	0	0	ar00	0	5	6		0	0	0		0	0	0
Flawed Amethyst	18	gfv	3	ht00	0	20	29						0	0	0	st00	0	4	4		0	0	0		0	0	0	ar00	0	7	8		0	0	0		0	0	0
Amethyst	18	gsv	3	ht00	0	30	39						0	0	0	st00	0	5	6		0	0	0		0	0	0	ar00	0	9	10		0	0	0		0	0	0
Flawless Amethyst	18	gzv	3	ht00	0	40	49						0	0	0	st00	0	7	8		0	0	0		0	0	0	ar00	0	11	13		0	0	0		0	0	0
Perfect Amethyst	17	gpv	3	ht00	0	50	60						0	0	0	st00	0	9	10		0	0	0		0	0	0	ar00	0	15	17		0	0	0		0	0	0
Chipped Saphire	5	gcb	3	dc00	0	1	1	dc01	0	3	3	dc03	0	25	25	mm00	0	6	8		0	0	0		0	0	0	rc00	0	10	12		0	0	0		0	0	0
Flawed Saphire	5	gfb	3	dc00	0	2	2	dc01	0	3	3	dc03	0	35	35	mm00	0	9	11		0	0	0		0	0	0	rc00	0	13	16		0	0	0		0	0	0
Saphire	5	gsb	3	dc00	0	2	2	dc01	0	4	4	dc03	0	50	50	mm00	0	12	15		0	0	0		0	0	0	rc00	0	17	20		0	0	0		0	0	0
Flwless Saphire	5	glb	3	dc00	0	3	3	dc01	0	5	5	dc03	0	60	60	mm00	0	16	20		0	0	0		0	0	0	rc00	0	21	25		0	0	0		0	0	0
Perfect Saphire	6	gpb	3	dc00	0	3	3	dc01	0	6	7	dc03	0	75	75	mm00	0	21	25		0	0	0		0	0	0	rc00	0	26	30		0	0	0		0	0	0
