class	invLeft	invRight	invTop	invBottom	gridRows	gridCols	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Sorceress	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Necromancer	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Paladin	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Barbarian	320	640	0	441	10	4	339	626	255	368	29	29	340	395	47	159	55	112	453	509	77	159	56	82	571	626	47	159	55	112	455	509	8	59	54	51	529	552	35	59	23	24	415	438	180	204	23	24	529	552	180	204	23	24	456	508	179	204	52	25	572	626	182	234	54	52	341	395	181	234	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
