ID	Add	Multiply	Divide	CodeName	English like name	WeirdCode	ItemSpecific
0	100	150	100	STATS_STRENGTH	STATS_STRENGTH	st00	0
1	100	150	100	STATS_ENERGY	STATS_ENERGY	en00	0
2	100	150	100	STATS_DEXTERITY	STATS_DEXTERITY	dx00	0
3	100	150	100	STATS_VITALITY	STATS_VITALITY	vt00	0
4	25	150	100	STATS_STATPTS	STATS_STATPTS	na	0
5	25	150	100	STATS_NEWSKILLS	STATS_NEWSKILLS	na	0
6	50	150	100	STATS_HITPOINTS	STATS_HITPOINTS	na	0
7	9	150	100	STATS_MAXHP	STATS_MAXHP	mh00	0
8	50	150	100	STATS_MANA	STATS_MANA	na	0
9	9	150	100	STATS_MAXMANA	STATS_MAXMANA	mm00	0
10	25	150	100	STATS_STAMINA	STATS_STAMINA	na	0
11	72	150	100	STATS_MAXSTAMINA	STATS_MAXSTAMINA	hl12	0
12	25	150	100	STATS_LEVEL	STATS_LEVEL	na	0
13	25	150	100	STATS_EXPERIENCE	STATS_EXPERIENCE	na	0
14	25	150	100	STATS_GOLD	STATS_GOLD	na	0
15	25	150	100	STATS_GOLDBANK	STATS_GOLDBANK	na	0
16	7	300	100	STATS_ITEM_ARMOR_PERCENT	STATS_ITEM_ARMOR_PERCENT	ar02	0
17	25	300	100	STATS_ITEM_MAXDAMAGE_PERCENT	STATS_ITEM_MAXDAMAGE_PERCENT	not in table	1
18	25	300	100	STATS_ITEM_MINDAMAGE_PERCENT	STATS_ITEM_MINDAMAGE_PERCENT	not in table	1
19	4	150	100	STATS_TOHIT	STATS_TOHIT	ht00	1
20	25	200	100	STATS_TOBLOCK	STATS_TOBLOCK	bl00	0
21	75	150	100	STATS_MINDAMAGE	STATS_MINDAMAGE	dm01	1
22	75	150	100	STATS_MAXDAMAGE	STATS_MAXDAMAGE	dm00	1
23	50	150	100	STATS_SECONDARY_MINDAMAGE	STATS_SECONDARY_MINDAMAGE	na	1
24	50	150	100	STATS_SECONDARY_MAXDAMAGE	STATS_SECONDARY_MAXDAMAGE	na	1
25	25	300	100	STATS_DAMAGEPERCENT	STATS_DAMAGEPERCENT	na	1
26	25	150	100	STATS_MANARECOVERY	STATS_MANARECOVERY	na	0
27	25	150	100	STATS_MANARECOVERYBONUS	STATS_MANARECOVERYBONUS	hl11	0
28	500	150	100	STATS_STAMINARECOVERYBONUS	STATS_STAMINARECOVERYBONUS	hl08	0
29	25	150	100	STATS_LASTEXP	STATS_LASTEXP	na	0
30	25	150	100	STATS_NEXTEXP	STATS_NEXTEXP	na	0
31	300	150	100	STATS_ARMORCLASS	STATS_ARMORCLASS	ar00	0
32	25	150	100	STATS_ARMORCLASS_VS_MISSILE	STATS_ARMORCLASS_VS_MISSILE	na	0
33	25	150	100	STATS_ARMORCLASS_VS_HTH	STATS_ARMORCLASS_VS_HTH	na	0
34	25	150	100	STATS_NORMAL_DAMAGE_REDUCTION	STATS_NORMAL_DAMAGE_REDUCTION	ar01	0
35	25	150	100	STATS_MAGIC_DAMAGE_REDUCTION	STATS_MAGIC_DAMAGE_REDUCTION	ar03	0
36	25	150	100	STATS_DAMAGERESIST	STATS_DAMAGERESIST	na	0
37	25	150	100	STATS_MAGICRESIST	STATS_MAGICRESIST	na	0
38	25	150	100	STATS_MAXMAGICRESIST	STATS_MAXMAGICRESIST	na	0
