Name	spawnable	level	group	nummods	mod1code	mod1offset	mod1min	mod1max	mod2code	mod2offset	mod2min	mod2max	mod3code	mod3offset	mod3min	mod3max	effect1	effect2	transform	transformcolor	armor	weapon	shield	thrown	scepter	wand	staff	bow	boots	gloves	belt	ring	amulet	charm	orb	divide	multiply	add
Resiliant	1	1	101	2	ar00	0	1	1		0				0			ac 1		0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sturdy	1	4	102	2	ar02	0	20	30		0				0			ac% 120 130		0	16	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Strong	1	9	102	2	ar02	0	31	40		0				0			ac% 131 140		0	16	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Glorious	1	19	102	2	ar02	0	41	50		0				0			ac% 141 150		0	16	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Blessed	1	25	102	2	ar02	0	51	65		0				0			ac% 151 165		0	16	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Saintly	1	31	102	2	ar02	0	66	80		0				0			ac% 166 180		1	16	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Holy	1	36	102	2	ar02	0	81	100		0				0			ac% 181 200		1	16	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Devious	1	7	103	2	ar03	0	1	1		0				0			magic damage taken -1		1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fortified	1	14	103	2	ar03	0	2	2		0				0			mtaken -2	noblock	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urgent	1	9	104	2	at02	0	10	10	tm00	0	150	150		0			increased attack speed -1	120 second duration	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fleet	1	6	104	2	at03	0	20	20	tm00	0	150	150		0			increased attack speed -2	120 second duration	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muscular	1	12	105	2	dm01	0	1	1		0				0			damin 1		0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Jagged	1	1	106	2	dm02	0	10	20		0				0			dam% 110 120		0	16	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Deadly	1	5	106	2	dm02	0	21	30		0				0			dam% 121 130		0	16	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0
Vicious	1	8	106	2	dm02	0	31	40		0				0			dam% 131 140		0	16	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Brutal	1	14	106	2	dm02	0	41	50		0				0			dam% 141 150		0	16	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Massive	1	20	106	2	dm02	0	51	65		0				0			dam% 151 165		1	16	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
