Name	spawnable	level	group	nummods	mod1code	mod1offset	mod1min	mod1max	mod2code	mod2offset	mod2min	mod2max	mod3code	mod3offset	mod3min	mod3max	effect1	effect2	transform	transformcolor	armor	weapon	shield	thrown	scepter	wand	staff	bow	boots	gloves	belt	ring	amulet	charm	orb	divide	multiply	add
of Health	1	7	1	2	ar01	0	1	1		0				0			htaken -1 -1		0	5	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
of Protection	1	18	1	2	ar01	0	2	2		0				0			htaken -2 -2		0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
of Absorption	1	26	1	2	ar01	0	3	3		0				0			htaken -3 -3		0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
of Life	1	35	1	2	ar01	0	4	4		0				0			htaken -5 -6		1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
of Life	1	35	1	2	ar01	0	4	4		0				0			htaken -4 -4		1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
of Warding	1	7	2	2	ar03	0	1	1		0				0			mtaken -1 -1		0	5	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
of the Sentinel	1	18	2	2	ar03	0	2	2		0				0			mtaken -2 -2		0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
of Guarding	1	26	2	2	ar03	0	3	3		0				0			mtaken -3 -3		0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
of Negation	1	35	2	2	ar03	0	4	4		0				0			mtaken -4 -4		0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
unused	1	35	2	2	ar03	0	5	6		0				0			mtaken -5 -6		1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
of Piercing	1	25	3	2	ar04	0	1	1		0				0			ignores target AC		0	19	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
of Bashing	1	16	4	2	ar05	0	-25	-40		0				0			acdam 8 24		0	19	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
of Puncturing	1	6	4	2	ar05	0	-10	-20		0				0			acdam 4 12		0	19	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
of Thorns	1	14	5	2	at00	0	1	3		0				0			attackertakes 1 6		0	19	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
of Spikes	1	21	5	2	at00	0	2	6		0				0			attackertakes 2 10		1	19	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
of Readiness	1	1	6	2	at01	0	10	10		0				0			aspeed -1		0	14	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
of Alacrity	1	8	6	2	at02	0	20	20		0				0			aspeed -2		0	14	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
of Swiftness	1	19	6	2	at02	0	30	30		0				0			aspeed -3		0	14	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
of Quickness	1	25	6	2	at03	0	40	40		0				0			aspeed -4		1	14	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
of Blocking	1	1	7	2	bl00	0	10	10		0				0			bspeed -1		0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
of Deflecting	1	11	7	2	bl00	0	20	20		0				0			bspeed -1		0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
of the Apprentice	1	5	8	2	ca00	0	10	10		0				0			cspeed -1		0	14	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0
of the Magus	1	17	8	2	ca02	0	20	20		0				0			faster cast rate		0	14	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0
of Frost	1	4	9	3	dc00	0	1	1	dc01	0	1	4	dc03	0	125	125	cdam 1 4	freeze for 2 frames	0	5	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
