name	namco	level	rarity	spawnable	completed	speed	nodurability	uniqueonly	cost	code	alternategfx	spelloffset	component	bodyLoc1	bodyLoc2	invwidth	invheight	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	autobelt	stackable	minstack	maxstack	quest	missiletype	spellicon	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam
elixir	elixir	21	4	1	1	0	1	0	20	elx	elx	0	16	0	0	1	1	flppot	invpot			0	xxx			1	0	11	22	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Healing Potion	Healing Potion	0	1	0	1	0	1	1	30	hpo	hpo	0	16	0	0	1	1	flprps	invrps			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Mana Potion	Mana Potion	0	1	0	1	0	1	1	30	mpo	mpo	0	16	0	0	1	1	flpbps	invbps			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Full Healing Potion	Full Healing Potion	0	2	0	1	0	1	1	150	hpf	hpo	0	16	0	0	1	1	flprpl	invrpl			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Full Mana Potion	Full Mana Potion	0	2	0	1	0	1	1	150	mpf	mpo	0	16	0	0	1	1	flpbpl	invbpl			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Stamina Potion	Stamina Potion	0	1	1	1	0	1	0	25	vps	vps	0	16	0	0	1	1	flpwps	invwps			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	2	4	0	0	255	0	0	0	0	255	3	5	3	5	255	0	0	0	0	255	0	0	0	0	255	3	5	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	255	0	0	0	0	255	2	3	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Antidote Potion	Antidote Potion	0	1	1	1	0	1	0	40	yps	yps	0	16	0	0	1	1	flpnps	invnps			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	2	4	0	0	255	0	0	0	0	255	9	15	9	15	255	0	0	0	0	255	0	0	0	0	255	8	11	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	8	11	0	0	255	0	0	0	0	255	3	5	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Rejuv Potion	Rejuv Potion	0	2	0	1	0	1	0	50	rvs	yps	0	16	0	0	1	1	flpvps	invvps			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Full Rejuv Potion	Full Rejuv Potion	0	2	0	1	0	1	0	200	rvl	ypl	0	16	0	0	1	1	flpvpl	invvpl			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Thawing Potion	Thawing Potion	0	2	1	1	0	1	0	25	wms	yps	0	16	0	0	1	1	flpyps	invyps			0	xxx			1	0	9	22	0	0	5	0	0	1	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	1	2	0	0	255	0	0	0	0	255	3	5	3	5	255	0	0	0	0	255	0	0	0	0	255	6	9	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	6	9	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
