Handle	Index	Song	Day Ambience	Night Ambience	Day Event	Night Event	Event Delay	Indoors	Material 1	Material 2	EAX Environ	EAX Env Size	EAX Env Diff	EAX Room Vol	EAX Room HF	EAX Decay Time	EAX Decay HF	EAX Reflect	EAX Reflect Delay	EAX Reverb	EAX Rev Delay	EAX Room Roll	EAX Air Absorb
ESOUNDENVIRON_NONE	0	0	0	0	0	0	250	0	0	0	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_TOWN_1	1	3570	63	64	0	0	250	0	1	5	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_WILDERNESS	2	3576	63	64	185	190	250	0	1	5	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_TRISTRAM	3	3574	63	64	185	190	250	0	1	5	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_CAVE	4	3554	47	47	80	80	200	1	1	0	5	11600	1000	-1000	-300	2700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_CRYPT	5	3555	48	48	88	88	500	1	2	0	5	11600	1000	-1240	-300	1700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_MONASTERY	6	3564	56	56	150	150	250	0	1	3	7	19600	1000	-1650	-500	3300	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_COURTYARD	7	3564	56	56	150	150	250	0	1	3	7	19600	1000	-1650	-500	3300	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_BARRACKS	8	3564	45	45	75	75	800	1	1	0	6	21600	1000	-1540	-476	2600	590	-789	20	-289	30	0	-5000
ESOUNDENVIRON_CATHEDRAL	9	3564	46	46	70	70	500	1	2	0	7	19600	1000	-1240	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_CATACOMBS	10	3564	45	45	75	75	800	1	2	0	5	11600	1000	-1600	-300	2310	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_ANDARIEL_LAIR	11	3564	45	45	75	75	250	1	2	0	6	11600	1000	-1540	-476	2600	590	-789	20	-289	30	0	-5000
ESOUNDENVIRON_TOWN_2	12	3571	49	50	165	170	250	0	3	4	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_DESERT	13	3556	49	50	93	93	250	0	4	3	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_VALLEY_OF_KINGS	14	3575	49	50	93	93	250	0	4	3	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
ESOUNDENVIRON_SEWERS	15	3567	58	58	80	80	150	1	2	0	13	13500	1000	-1650	-237	1400	790	-1214	13	395	20	0	-5000
ESOUNDENVIRON_HAREM	16	3558	51	51	103	103	750	1	2	0	9	36200	1000	-1700	-698	4000	330	-1166	20	16	30	0	-5000
ESOUNDENVIRON_CORRUPT_HAREM	17	3558	51	51	103	103	750	1	2	0	9	36200	1000	-1700	-698	4000	330	-1166	20	16	30	0	-5000
ESOUNDENVIRON_BASEMENT	18	3558	45	45	103	103	750	1	2	0	10	50300	1000	-1592	-1000	3300	230	-602	20	198	30	0	-5000
ESOUNDENVIRON_TOMBS	19	3569	47	47	131	131	500	1	2	4	9	36200	1000	-1356	-698	3400	330	-1166	20	16	56	0	-5000
ESOUNDENVIRON_MAGGOT_LAIR	20	3562	60	60	70	70	500	1	1	0	13	13500	1000	-1500	-237	1800	790	-1214	13	395	20	0	-5000
ESOUNDENVIRON_DURIEL_LAIR	21	3569	60	60	70	70	500	1	2	0	13	13500	1000	-1500	-237	2000	790	-1214	13	395	20	0	-5000
ESOUNDENVIRON_ARCANE	22	3566	55	55	0	0	250	0	2	0	7	19600	1000	-2091	-500	4000	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_TOWN_3	23	3572	61	62	175	180	300	0	1	0	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_JUNGLE	24	3559	52	53	111	116	200	0	1	0	17	100000	270	-2100	-2500	1490	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_KURAST	25	3560	61	53	121	126	325	0	1	0	17	100000	270	-2175	-2500	1800	210	-2780	226	-1434	100	0	-5000
ESOUNDENVIRON_KURAST_SEWER	26	3561	47	47	88	88	500	1	2	0	5	11600	1000	-1200	-300	2700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_DUNGEON	27	3568	58	58	131	131	250	1	2	0	5	11600	1000	-1240	-300	1700	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_TEMPLE	28	3561	46	46	155	155	250	0	2	0	9	36200	1000	-1700	-698	4100	1167	-1166	20	16	30	0	-5000
ESOUNDENVIRON_SPIDER_LAIR	29	3568	47	47	65	65	250	1	1	0	5	11600	1000	-1600	-300	2310	330	-711	12	83	17	0	-5000
ESOUNDENVIRON_MEPHISTO_LAIR	30	3561	45	45	155	155	250	1	2	0	7	19600	1000	-1400	-500	4750	700	-1230	20	-2	29	0	-5000
ESOUNDENVIRON_TOWN_4	31	3573	55	55	0	0	500	0	1	0	5	11600	1000	-1600	-300	2310	640	-711	12	83	17	0	-5000
ESOUNDENVIRON_MESA	32	3563	55	55	75	75	300	0	1	0	12	1800	1000	-2300	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_LAVA	33	3563	54	54	136	136	300	0	1	0	12	1800	1000	-2300	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_DIABLO_LAIR	34	3557	54	54	136	136	300	0	1	0	12	1800	1000	-2100	-300	4700	590	-1217	7	441	11	0	-5000
ESOUNDENVIRON_GUILD	35	3576	63	64	0	0	250	0	1	5	0	0	0	-10000	-10000	0	0	0	0	0	0	0	0
