Handle	Index	FileName	Volume	Group Size	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Reverb	Falloff	Cache	Async Only	Priority	Stream	Stereo	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3
ESOUND_NONE	0	none.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_PASS	1	cursor\pass.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SELECT	2	cursor\select.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_ERROR	3	cursor\windowopen.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_BUTTON_CLICK	4	cursor\button.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_POINT_DROP	5	cursor\pointdrop.wav	220	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SWITCH	6	cursor\windowopen.wav	220	0	0	0	0	1	0	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_LEVEL_UP	7	cursor\levelup.wav	220	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_DURABILITY_BREAK	8	cursor\itembroken.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_CONVERT_READY	9	cursor\convertready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_CONVERT_ITEM	10	cursor\convert.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_IDENTIFY_READY	11	cursor\identifyready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_IDENTIFY_ITEM	12	cursor\identify.wav	255	0	0	0	0	0	0	0	4	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_REPAIR_ITEM	13	cursor\repair.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_HOSTILE	14	cursor\hostile.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_AMAZON_SELECT	15	cursor\intro\amazon select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_AMAZON_DESELECT	16	cursor\intro\amazon deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_BARBARIAN_SELECT	17	cursor\intro\barbarian select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_BARBARIAN_DESELECT	18	cursor\intro\barbarian deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_NECROMANCER_SELECT	19	cursor\intro\necromancer select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_NECROMANCER_DESELECT	20	cursor\intro\necromancer deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_PALADIN_SELECT	21	cursor\intro\paladin select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_PALADIN_DESELECT	22	cursor\intro\paladin deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SORCERESS_SELECT	23	cursor\intro\sorceress select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SORCERESS_DESELECT	24	cursor\intro\sorceress deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_FLASH_1	25	quest\pieceflash1.wav	80	2	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_FLASH_2	26	quest\pieceflash2.wav	80	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_FLASH_3	27	none.wav	0	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_PLACE	28	object\hellforgeplace.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SMASH	29	object\hellforgesmash.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SOUL_1	30	quest\soulrise1.wav	224	3	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SOUL_2	31	quest\soulrise2.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SOUL_3	32	quest\soulrise3.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HORADRIC_STAFF_SPIN	33	quest\staffloop.wav	255	0	1	3	6	1	0	0	0	0	1	0	0	100	0	0	1	0	0	25280	-1	-1
ESOUND_QUEST_HORADRIC_STAFF_LIGHT	34	quest\spotlight.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_RADAMENT_HOLYBOLT_1	35	skill\paladin\holybolt1.wav	224	3	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	26537	-1	-1
ESOUND_QUEST_RADAMENT_HOLYBOLT_2	36	skill\paladin\holybolt2.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	27948	-1	-1
ESOUND_QUEST_RADAMENT_HOLYBOLT_3	37	skill\paladin\holybolt3.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	25046	-1	-1
ESOUND_QUEST_RAIDERS_LIGHT_SHAFT	38	monster\scimitar\loop.wav	255	0	1	6	6	1	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_FLASH_1	39	quest\flash1.wav	255	3	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_FLASH_2	40	quest\flash2.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_FLASH_3	41	quest\flash3.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_BALL_1	42	quest\ball1.wav	255	3	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_BALL_2	43	quest\ball2.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_BALL_3	44	quest\ball3.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_SCENE_CATACOMBS	45	ambient\scene\catacombs.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_CATHEDRAL	46	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_CAVE	47	ambient\scene\cave.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_CRYPT	48	ambient\scene\crypt.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_DESERT_DAY	49	ambient\scene\desertday.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_DESERT_NIGHT	50	ambient\scene\desertnight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_HAREM	51	ambient\scene\harem.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_JUNGLE_DAY	52	ambient\scene\jungleday.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_JUNGLE_NIGHT	53	ambient\scene\junglenight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_LAVA	54	ambient\scene\lava.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_MESA	55	ambient\scene\hell1.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_MONASTERY	56	ambient\scene\creepywind.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_RAIN	57	ambient\scene\rain2.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_SEWER	58	ambient\scene\sewer.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TAVERN_INTERIOR	59	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TOMB	60	ambient\scene\tomb.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TOWN_3_DAY	61	ambient\scene\town3day.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TOWN_3_NIGHT	62	ambient\scene\town3night.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_WILDERNESS_DAY	63	ambient\scene\wilderness day 2.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_WILDERNESS_NIGHT	64	ambient\scene\wilderness night.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_1	65	ambient\event\wind6.wav	255	4	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_2	66	ambient\event\wind7.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_3	67	ambient\event\wind8.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_4	68	ambient\event\wind9.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_5	69	none.wav	0	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_1	70	ambient\event\wind1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_2	71	ambient\event\wind2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_3	72	ambient\event\wind3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_4	73	ambient\event\wind4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_5	74	ambient\event\wind5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_1	75	ambient\event\scream1.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_2	76	ambient\event\scream2.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_3	77	ambient\event\scream3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_4	78	ambient\event\scream4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_5	79	ambient\event\scream5.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_1	80	ambient\event\drip1.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_2	81	ambient\event\drip2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_3	82	ambient\event\drip3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_4	83	ambient\event\drip4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_5	84	ambient\event\drip5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_6	85	ambient\event\drip6.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_7	86	ambient\event\drip7.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_8	87	ambient\event\drip8.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_1	88	ambient\event\thump6.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_2	89	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_3	90	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_4	91	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_5	92	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_1	93	ambient\event\desertinsect6.wav	32	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_2	94	ambient\event\desertinsect5.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_3	95	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_4	96	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_5	97	ambient\event\desertinsect2.wav	80	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_1	98	ambient\event\desertbirdie1.wav	120	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_2	99	ambient\event\desertinsect1.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_3	100	ambient\event\desertinsect4.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_4	101	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_5	102	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_HAREM_1	103	ambient\event\thump6.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_HAREM_2	104	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_HAREM_3	105	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_HAREM_4	106	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_HAREM_5	107	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_HAREM_6	108	ambient\event\thump1.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
