name	completed	beta	code	type	transform	invtransform	transformcolor	NumMods	ItemMod1Code	ItemMod1Offset	ItemMod1Min	ItemMod1Max	ItemMod2Code	ItemMod2Offset	ItemMod2Min	ItemMod2Max	ItemMod3Code	ItemMod3Offset	ItemMod3Min	ItemMod3Max	ItemMod4Code	ItemMod4Offset	ItemMod4Min	ItemMod4Max	ItemMod5Code	ItemMod5Offset	ItemMod5Min	ItemMod5Max	ItemMod6Code	ItemMod6Offset	ItemMod6Min	ItemMod6Max	ItemMod7Code	ItemMod7Offset	ItemMod7Min	ItemMod7Max	ItemMod8Code	ItemMod8Offset	ItemMod8Min	ItemMod8Max	ItemMod9Code	ItemMod9Offset	ItemMod9Min	ItemMod9Max	ItemMod10Code	ItemMod10Offset	ItemMod10Min	ItemMod10Max
The Gnasher	1	1	hax	Hand Axe	1	0	14	10	ht00	0	30	30	sp02	0	50	50	sp03	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Deathspade	1	1	axe	Axe	1	0	16	10	hw01	0	1	1	dm01	0	8	8	ht01	0	15	15	sp05	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bladebone	1	1	2ax	Double Axe	1	1	1	10	md01	0	100	100	md03	0	40	40	at02	0	20	20	ar00	0	20	20	df00	0	4	4	df01	0	7	7																
Mindrend	1	1	mpi	Military Pick	1	0	10	10	hw01	0	60	60	hl11	0	20	20	dl00	0	1	1	dl01	0	12	12	ht00	0	50	50																				
Rakescar	1	1	wax	War Axe	1	1	2	10	dp00	0	64	64	dp01	0	96	96	dp02	0	75	75	ht00	0	50	50	rp00	0	50	50																				
Fechmars Axe	1	1	lax	Large Axe	1	1	17	10	dm02	0	50	50	sp01	0	1	1	rc00	0	30	30	lt00	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goreshovel	1	1	bax	Broad Axe	1	1	18	10	at03	0	1	1	st00	0	25	25	sp02	0	60	60		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Chieftan	1	1	btx	Battle Axe	1	0	19	10	dm02	0	100	100	ra00	0	10	10	rp00	0	20	20	at01	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Brainhew	1	1	gax	Great Axe	1	0	0	10	dm01	0	14	14	mm00	0	25	25	lt00	0	4	4	mm03	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Humongous	1	1	gix	Giant Axe	1	1	3	10	st00	0	10	10	dm01	0	8	8	dm00	0	15	15	sp03	0	33	33	rq00	0	20	20																				
Iros Torch	1	1	wnd	Wand	1	0	9	10	sk02	0	1	1	mh03	0	6	6	df00	0	5	5	df01	0	9	9		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
