name	rarity	spawnable	completed	uniqueonly	mindam	maxdam	2handmindam	2handmaxdam	rangeadder	StrBonus	DexBonus	speed	weaponspeedenum	minmisdam	maxmisdam	misspeed	basespeed	modspeed	dam/frame	reqstr	reqdex	durability	nodurability	level	cost	replenish	code	alternateGfx	OpenBetaGfx	ubercode	wclass	2handedwclass	group	weapongroupenum	1or2handed	spelloffset	hit class	2Handed	throwable	stackable	minstack	maxstack	class	reload	range	component	bodyLoc1	bodyLoc2	invwidth	invheight	hasinv	gemsockets	flippyfile	invfile	uniqueinvfile	special	useable	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	damvsundead	damvsdemon	damvslarge	damvssmall	damvsflying	tohitvsundead	tohitvsdemon	tohitvslarge	tohitvssmall	tohitvsflying	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade
Hand Axe	1	1	1	0	3	6	3	6	0	1	0	0	3				7	7	0.642857143	0	0	28	0	3	170		hax	hax	hax	9ha	1hs	1hs	1haxe	1	0	0	3	0	0	0	0	0				5	4	5	1	3	1	2	flphax	invhax	invhaxu		0	28	27	0	0	5	0	0	0	0	35	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Axe	1	1	1	0	3	11	3	11	0	1	0	10	4				7	14	0.411764706	32	0	24	0	7	403		axe	axe	axe	9ax	1hs	1hs	1haxe	1	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpaxe	invaxe	invaxeu		0	28	29	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Double Axe	1	1	0	0	5	12	5	12	0	1	0	10	4				7	14	0.5	43	0	24	0	13	873		2ax	axe	axe	92a	1hs	1hs	1haxe	1	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flp2ax	inv2ax			0	28	29	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Military Pick	2	1	1	0	6	10	6	10	0	1	0	-10	2				7	0	-2.666666667	49	33	26	0	19	1421		mpi	axe	axe	9mp	1hs	1hs	1haxe	1	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpmpi	invmpi	invmpiu		0	28	29	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
War Axe	2	1	0	0	8	14	8	14	0	1	0	0	2				7	7	1.571428571	67	0	26	0	25	2123		wax	hax	hax	9wa	1hs	1hs	1haxe	1	0	0	3	0	0	0	0	0				5	4	5	2	3	1	3	flpwax	invwax			0	28	29	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Large Axe	1	1	1	0	6	13	6	13	0	1	0	-10	2				9	0	-9.5	35	0	30	0	6	354		lax	lax	lax	9la	stf	stf	2haxe	1	0	0	5	1	0	0	0	0				5	4	5	2	3	1	3	flplax	invlax			0	28	16	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	1	1	1	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Broad Axe 	1	1	1	0	9	17	10	18	0	1	0	0	3				9	9	1.444444444	48	0	35	0	12	806		bax	lax	lax	9ba	stf	stf	2haxe	1	0	0	5	1	0	0	0	0				5	4	5	2	3	1	3	flpbrx	invbrx			0	28	16	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Battle Axe	1	1	1	0	10	28	12	28	0	1	0	10	4				9	18	1	54	0	40	0	17	1262		btx	btx	lax	9bt	stf	stf	2haxe	1	0	0	5	1	0	0	0	0				5	4	5	2	3	1	3	flpbtx	invbtx	invbtxu		0	28	16	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	5	2	0	0	0
Great Axe	2	1	1	0	6	24	8	26	0	1	0	-10	2				9	0	-15	63	39	50	0	23	1916		gax	btx	lax	9ga	stf	stf	2haxe	1	0	0	5	1	0	0	0	0				5	4	5	2	4	1	3	flpgax	invgax	invgaxu		0	28	16	0	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0
Giant Axe	4	1	0	0	26	38	26	38	0	1	0	10	5				9	18	1.684210526	70	0	50	0	27	2410		gix	gix	lax	9gi	stf	stf	2haxe	1	0	0	5	1	0	0	0	0				5	4	5	2	3	1	3	flpgix	invgix			0	28	16	1	0	5	0	0	0	0	0	7	0	100	150	100	100	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	1	1			0	0	0	0	0	2	2	0	0	0
Wand	2	1	1	0	2	4	2	4	0	1	0	0	3				7	7	0.428571429	0	0	15	0	2	205		wnd	wnd	wnd	9wn	1hs	1hs	1hmace	0	0	0	2	0	0	0	0	0	necromancer			5	4	5	1	2	0	0	flpwnd	invwnd	invwndu	magically charged	0	25	30	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	5	0	0	0	0	255	0	0	0	0	255	4	6	7	9	1	0	0	0	0	255	0	0	0	0	255	0	0	1	2	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1			0	0	0	0	0	5	8	0	0	0
Yew Wand	0	1	1	0	2	8	2	8	0	1	0	10	4				7	14	0.294117647	0	0	15	0	12	745		ywn	ywn	wnd	9yw	1hs	1hs	1hmace	0	0	0	2	0	0	0	0	0	necromancer			5	4	5	1	2	0	0	flpywn	invywn		magically charged	0	25	30	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	5	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	3	5	5	9	1	0	0	0	0	255	0	0	0	0	255	2	3	2	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	1	1			0	0	0	0	0	5	8	0	0	0
Bone Wand	0	1	1	0	3	7	3	7	0	1	0	-20	2				7	-7	-0.384615385	0	0	15	0	18	1296		bwn	bwn	wnd	9bw	1hs	1hs	1hmace	0	0	0	2	0	0	0	0	0	necromancer			5	4	5	1	2	0	0	flpbwn	invbwn	invbwnu	magically charged	0	25	30	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	3	5	5	7	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	3	4	2	3	1			0	0	0	0	0	1	2	0	0	0
Grim Wand	0	1	0	0	5	11	5	11	0	1	0	0	2				7	7	1.142857143	0	0	15	0	26	2098		gwn	bwn	wnd	9gw	1hs	1hs	1hmace	0	0	0	2	0	0	0	0	0	necromancer			5	4	5	1	2	0	0	flpgwn	invgwn		magically charged	0	25	30	0	0	5	0	0	0	0	0	7	0	100	100	100	100	100	0	0	0	0	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	2	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	1	3	1	2	1			0	0	0	0	0	1	2	0	0	0
Club	1	1	1	0	1	6	1	6	0	1	0	-10	2				7	0	-1.166666667	0	0	24	0	1	32		clb	clb	clb	9cl	1hs	1hs	1hmace	0	0	0	8	0	0	0	0	0				5	4	5	1	3	1	2	flpclb	invclb	invclbu		0	29	28	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	5	2	0	0	0
Scepter	1	1	1	0	5	8	5	8	0	1	0	0	3				7	7	0.928571429	25	0	50	0	3	350		scp	mac	mac	9sc	1hs	1hs	1hmace	0	0	0	8	0	0	0	0	0	paladin			5	4	5	1	3	1	2	flpscp	invscp		magically charged	0	24	29	0	0	5	0	0	0	0	0	7	0	150	100	66	150	100	0	0	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	2	4	2	4	1	0	0	0	0	255	0	0	0	0	255	2	3	3	5	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1			0	0	0	0	0	2	2	0	0	0
